University,City,Country,Program Name,Deadline,Fees,TOEFL Score,GRE Score,GMAT Score,IELTS Score
canterbury christ church university,canterbury,uk,M.A Surgery - Orthopaedics and Regenerative Medicine,Application Deadline (9th Dec 2023),14.7,6,,,
canterbury christ church university,canterbury,uk,M.Sc Applied Exercise and Health Science,Application Deadline (9th Dec 2023),14.7,6,,,
canterbury christ church university,canterbury,uk,M.A Film and Media Production,Application Deadline (9th Dec 2023),14.7,6,,,
sobey school of business,halifax,canada,M.B.A,Application Deadline For Fall Intake (1st Jan 2024),27.6,7,550,64,100
sobey school of business,halifax,canada,Graduate Diploma Management,Application Deadline For Spring Intake (31st May 2024),6.9,6.5,58,,80
sobey school of business,halifax,canada,Certificate Business Communications,Application Deadline For Fall Intake (1st Apr 2024),1.4,6.5,58,,80
sobey school of business,halifax,canada,M.Fin,Application Deadline For Fall Intake (1st Apr 2024),30.4,6.5,58,,80
sobey school of business,halifax,canada,M.B.A,Application Deadline For Fall Intake (1st Jan 2024),27.6,7,550,58,100
sobey school of business,halifax,canada,Ph.D Business Administration (Management),Application Deadline For Fall Intake (1st Feb 2024),23.4,100,58,,600
heritage college,gatineau,canada,Diploma Nursing,Application Deadline For Fall Intake (31st Mar 2024),13.3,80,59,,6.5
heritage college,gatineau,canada,Diploma Computer Science,Application Deadline For Fall Intake (31st Mar 2024),8.6,80,59,,6.5
heritage college,gatineau,canada,Diploma Graphic and Web Design,Application Deadline For Fall Intake (31st Mar 2024),8.6,80,59,,6.5
heritage college,gatineau,canada,Diploma Accounting and Management Technology,Application Deadline For Fall Intake (31st Mar 2024),8.6,80,59,,6.5
heritage college,gatineau,canada,Diploma Visual Arts,Application Deadline For Fall Intake (31st Mar 2024),8.6,80,59,,6.5
roosevelt university,chicago,usa,M.B.A Industrial and Organizational Psychology,Application Deadline For Spring Intake (1st Nov 2023),16.7,500,80,,6.5
college of business university of michigan dearborn,dearborn,usa,B.A Supply Chain Management (Major),Application Deadline For Winter 2024 Intake (15th Nov 2023),24.6,6.5,,,80
college of business university of michigan dearborn,dearborn,usa,B.A Human Resource Management (Major),Application Deadline For Winter 2024 Intake (15th Nov 2023),24.6,6.5,,,80
college of business university of michigan dearborn,dearborn,usa,B.A Digital Marketing (Major),Application Deadline For Winter 2024 Intake (15th Nov 2023),24.6,6.5,,,80
college of business university of michigan dearborn,dearborn,usa,B.A General Business (Major),Application Deadline For Winter 2024 Intake (15th Nov 2023),24.6,6.5,,,80
college of business university of michigan dearborn,dearborn,usa,B.Fin,Application Deadline For Winter 2024 Intake (15th Nov 2023),24.6,6.5,,,80
college of business university of michigan dearborn,dearborn,usa,B.A Information Systems Management + Information Technology Management (Major),Application Deadline For Winter 2024 Intake (15th Nov 2023),24.6,,,,
university coventry,coventry,uk,B.B.A,Application Deadline for 2024 Intake (31st Jan 2024),17,5.5,,,59
university coventry,coventry,uk,B.S Computer Science,Application Deadline for 2024 Intake (31st Jan 2024),20.1,5.5,,,59
university coventry,coventry,uk,L.L.B,Application Deadline for 2024 Intake (31st Jan 2024),17,5.5,,,59
university coventry,coventry,uk,B.S Aviation Management,Application Deadline for 2024 Intake (31st Jan 2024),20.1,5.5,,,59
university coventry,coventry,uk,B.Eng Mechanical Engineering,Application Deadline for 2024 Intake (31st Jan 2024),20.1,5.5,,,59
university coventry,coventry,uk,B.S International Business Management,Application Deadline for 2024 Intake (31st Jan 2024),17,5.5,,,59
lawrence technological university,southfield,usa,M.S Automotive Engineering,Application Deadline For Spring Intake (10th Oct 2023),15.6,6,60,,79
lawrence technological university,southfield,usa,M.S Computer Science,Application Deadline For Spring Intake (10th Oct 2023),15.6,6,60,,79
lawrence technological university,southfield,usa,M.S Construction Engineering Management,Application Deadline For Spring Intake (10th Oct 2023),15.6,6,60,,79
lawrence technological university,southfield,usa,M.S Industrial Engineering,Application Deadline For Spring Intake (10th Oct 2023),15.6,6,60,296,79
lawrence technological university,southfield,usa,M.S Civil Engineering,Application Deadline For Spring Intake (10th Oct 2023),15.6,6,60,,79
lawrence technological university,southfield,usa,M.S Mechanical Engineering,Application Deadline For Spring Intake (10th Oct 2023),15.6,6,60,,79
saarland university,saarbrucken,germany,M.Sc Data Science and Artificial Intelligence,Summer Semester Application Deadline (15th Nov 2023),"25,878",7,,,95
university of new brunswick saint saint john,john,canada,M.S Computer Science,Early Application Deadline For Fall Intake (15th Dec 2023),3,94,65,,7
university of new brunswick saint saint john,john,canada,M.S Electrical and Computer Engineering,winter (16th Jan 2024),3,93,59,309,7
university of new brunswick saint saint john,john,canada,B.S Computer Science,Application Deadline For Summer Intake (1st Feb 2024),12.4,6.5,59,105,85
university of new brunswick saint saint john,john,canada,B.A Applied Management - Hospitality and Tourism,Application Deadline For Summer Intake (1st Feb 2024),11.8,6.5,59,115,85
university of new brunswick saint saint john,john,canada,M.Eng Civil Engineering,Application Deadline For Fall Intake (1st Feb 2024),3,85,59,115,6.5
university of new brunswick saint saint john,john,canada,M.C.S,Early Application Deadline For Fall Intake (15th Dec 2023),3,93,59,309,7
university of north texas,denton,usa,M.S Computer Science,Application Deadline for Spring 2024 Intake (15th Oct 2023),23.1,79,53,307,6
university of north texas,denton,usa,M.S Computer Engineering,Application Deadline for Spring 2024 Intake (15th Oct 2023),23.1,79,53,307,6
university of north texas,denton,usa,M.B.A,Application Deadline for Spring 2024 Intake (15th Oct 2023),23.1,79,53,307,6
university of north texas,denton,usa,M.S Business Analytics,Application Deadline for Spring 2024 Intake (15th Oct 2023),23.1,79,53,307,6
university of north texas,denton,usa,M.S Data Science,Application Deadline for Spring 2024 Intake (15th Oct 2023),23.1,79,53,307,6
university of north texas,denton,usa,M.S Information Science,Application Deadline for Spring 2024 Intake (15th Oct 2023),23.1,79,53,307,6
georgetown university,washington,usa,M.S Data Science for Public Policy,Priority Application Deadline For Spring Intake (15th Oct 2023),49.7,7.5,319,68,100
georgetown university,washington,usa,M.B.A,Priority Application Deadline For Spring Intake (15th Oct 2023),49.7,7.5,657,317,100
georgetown university,washington,usa,M.S Business Analytics,Priority Application Deadline For Spring Intake (15th Oct 2023),49.7,100,68,697,7.5
georgetown university,washington,usa,M.S Computer Science,Priority Application Deadline For Spring Intake (15th Oct 2023),49.7,80,324,,7
georgetown university,washington,usa,M.S Finance,Priority Application Deadline For Spring Intake (15th Oct 2023),49.7,692,100,68,7.5
georgetown university,washington,usa,L.L.M General and Internationalegal Studies,Priority Application Deadline For Spring Intake (15th Oct 2023),49.7,7.5,,,100
university of technology hamburg,hamburg,germany,M.S Mechanical Engineering and Management,Application Deadline For Winter Intake (1st Mar 2024),"60,234",87,,,6.5
university of technology hamburg,hamburg,germany,M.A Chemical and Bioprocess Engineering,Application Deadline For Winter Intake (1st Mar 2024),"60,234",90,,,6.5
university of technology hamburg,hamburg,germany,M.S Microelectronics and Microsystems,Application Deadline For Winter Intake (1st Mar 2024),"60,234",87,,,6.5
university of technology hamburg,hamburg,germany,M.S Global Technology and Innovation Management and Entrepreneurship,Application Deadline For Winter Intake (1st Mar 2024),"60,234",87,,,6.5
university of technology hamburg,hamburg,germany,M.S Environmental Engineering,Application Deadline For Winter Intake (1st Mar 2024),"60,234",90,,,6.5
university of technology hamburg,hamburg,germany,M.A Technology Management,Application Deadline For Winter Intake (1st Mar 2024),"60,234",87,,,6.5
university of california,davis,usa,M.S Business Analytics,Application Deadline (1st Dec 2023),49.9,100,,,7
university of california,davis,usa,M.S Computer Science,Application Deadline (15th Jan 2024),27.6,80,115,,7
university of california,davis,usa,M.S Horticulture and Agronomy,Priority Application Deadline (5th Jan 2024),27.6,80,54,,7
university of california,davis,usa,M.S Agricultural and Resource Economics,Priority Application Deadline (5th Jan 2024),36.6,80,54,,7
university of california,davis,usa,M.S Pharmacology and Toxicology,Application Deadline (1st Dec 2023),36.6,80,54,,7
university of california,davis,usa,M.S Electrical and Computer Engineering,Application Deadline (15th Jan 2024),27.6,80,115,,7
hult international business school,cambridge,usa,M.Fin,Application Deadline For 2023 Intake (15th Dec 2023),45.7,6.5,54,,74
hult international business school,cambridge,usa,Master of International Marketing,Application Deadline For 2023 Intake (15th Dec 2023),45.7,5.5,54,,74
hult international business school,cambridge,usa,M.I.B,Application Deadline For 2023 Intake (15th Dec 2023),45.7,5.5,54,,74
hult international business school,cambridge,usa,M.A International Marketing,Application Deadline For 2023 Intake (15th Dec 2023),45.7,6.5,54,,74
lake washington institute of technology,kirkland,usa,B.A/B.S Digital Gaming and Interactive Media,Application Deadline For Winter Intake (8th Jan 2024),7.9,6,46,,70
lake washington institute of technology,kirkland,usa,B.S Computing and Software Development,Application Deadline For Winter Intake (8th Jan 2024),7.9,6,46,,70
lake washington institute of technology,kirkland,usa,B.A/B.S Public Health,Application Deadline For Winter Intake (8th Jan 2024),7.9,6,46,,70
lake washington institute of technology,kirkland,usa,"B.Aogistics, and Supply Chain Management",Application Deadline For Winter Intake (8th Jan 2024),7.9,6,46,,70
lake washington institute of technology,kirkland,usa,B.S Behavioral Healthcare,Application Deadline For Winter Intake (8th Jan 2024),7.9,6,46,,70
lake washington institute of technology,kirkland,usa,B.A/B.S Applied Design,Application Deadline For Winter Intake (8th Jan 2024),7.9,6,46,,70
martinuther university wittenberg halle,halle,germany,M.S Pharmaceutical and Industrial Biotechnology,Application Deadline For Winter Intake (31st Mar 2024),"8,125",90,,,6.5
martinuther university wittenberg halle,halle,germany,M.S Computer Science,Application Deadline For Summer Intake (15th Dec 2023),"8,125",,,,
martinuther university wittenberg halle,halle,germany,M.S Health and Nursing Sciences,Application Deadline For Summer Intake (15th Dec 2023),"8,125",,,,
martinuther university wittenberg halle,halle,germany,M.S International Financial Management,Application Deadline For Summer Intake (15th Dec 2023),"8,125",,,,
martinuther university wittenberg halle,halle,germany,"M.S Accounting, Taxation and Finance",Application Deadline For Summer Intake (15th Dec 2023),"8,125",87,,,5.5
martinuther university wittenberg halle,halle,germany,M.S Business Studies,Application Deadline For Summer Intake (15th Dec 2023),"8,125",,,,
university of bologna,carpi,italy,M.B.A Business Administration and Management,Application Deadline (27th Apr 2024),1.4,5.5,550,,80
university of bologna,carpi,italy,M.S Automation Engineering,Application Deadline Round 1 (17th Jan 2024),"90,086",5.5,,,80
university of bologna,carpi,italy,B.A Business and Economics,Application Deadline (11th Jul 2024),"13,866",80,,,5.5
university of bologna,carpi,italy,M.B.A Digital Transformation Management,Application Deadline (13th Apr 2024),1.4,5.5,550,,80
university of bologna,carpi,italy,B.A Economics and Finance,Application Deadline (27th Apr 2024),"13,866",80,,,5.5
university of bologna,carpi,italy,M.S Medical Biotechnology,Application Deadline (27th Apr 2024),1.4,5.5,,,80
university of new brunswick fredericton,fredericton,canada,M.B.A,Application Deadline For Fall Intake (31st Mar 2024),3.8,94,65,550,7
university of new brunswick fredericton,fredericton,canada,M.S Computer Science,Early Application Deadline For Fall Intake (15th Dec 2023),3,94,65,,7
university of new brunswick fredericton,fredericton,canada,M.S Electrical and Computer Engineering,winter (16th Jan 2024),3,93,59,309,7
university of new brunswick fredericton,fredericton,canada,B.S Computer Science,Application Deadline For Summer Intake (1st Feb 2024),12.4,6.5,59,105,85
university of new brunswick fredericton,fredericton,canada,B.A Applied Management - Hospitality and Tourism,Application Deadline For Summer Intake (1st Feb 2024),11.8,6.5,59,115,85
university of new brunswick fredericton,fredericton,canada,M.Eng Civil Engineering,Application Deadline For Fall Intake (1st Feb 2024),3,85,59,115,6.5
royal roads university,victoria,canada,M.B.A Executive Management,Application Deadline For January 2024 Intake (5th Dec 2023),33.3,79,60,560,6.5
royal roads university,victoria,canada,Graduate Certificate Strategic Human Resources Management,Application Deadline For January 2024 Intake (5th Dec 2023),5.4,88,60,115,6.5
royal roads university,victoria,canada,M.A Tourism Management,Application Deadline For April Intake (3rd Dec 2023),21.6,88,60,115,6.5
royal roads university,victoria,canada,Graduate Certificateeadership,Application Deadline For December Intake (12th Nov 2023),5.4,88,60,115,6.5
royal roads university,victoria,canada,B.Com Entrepreneurial Management,Application Deadline For February 2024 Intake (27th Nov 2023),27.1,88,60,105,6.5
royal roads university,victoria,canada,M.A Conflict Analysis and Management,Application Deadline For January 2024 Intake (8th Oct 2023),21.2,88,60,115,6.5
arizona state university,tempe,usa,B.S Computer Science,Priority Application Deadline For Spring Intake (1st Nov 2023),28.6,6.5,53,95,79
arizona state university,tempe,usa,B.B.A,Priority Application Deadline For Spring Intake (1st Nov 2023),28.6,6.5,53,95,79
arizona state university,tempe,usa,B.S Computer Science - Software Engineering,Priority Application Deadline For Spring Intake (1st Nov 2023),28.6,6.5,53,95,79
arizona state university,tempe,usa,B.F.A Animation,Priority Application Deadline For Spring Intake (1st Nov 2023),28.6,6.5,53,95,79
arizona state university,tempe,usa,B.S Information Technology,Priority Application Deadline For Spring Intake (1st Nov 2023),28.6,6.5,53,95,79
arizona state university,tempe,usa,B.A Journalism and Mass Communication,Priority Application Deadline For Spring Intake (1st Nov 2023),28.6,6.5,53,95,79
state university valdosta,valdosta,usa,B.B.A Finance,Application Deadline For Summer Intake (1st Feb 2024),16,6,53,,69
state university valdosta,valdosta,usa,M.S Biology,Application Deadline For Spring Intake (15th Oct 2023),22.8,6,53,,69
state university valdosta,valdosta,usa,B.A Nursing,Application Deadline For Spring Intake (1st Feb 2024),16,6,53,,69
state university valdosta,valdosta,usa,B.A/B.S Exercise Physiology,Application Deadline For Summer Intake (1st Feb 2024),16,6,53,,69
state university valdosta,valdosta,usa,B.S Astronomy,Application Deadline For Summer Intake (1st Feb 2024),16,6,53,,69
state university valdosta,valdosta,usa,B.A Interior Design,Application Deadline For Summer Intake (1st Feb 2024),16,6,53,,69
state university boise,boise,usa,M.S Computer Science,Application Deadline For Fall Intake (10th Jan 2024),23.7,6.5,50,,80
state university boise,boise,usa,M.A Political Science,Application Deadline For Fall Intake (10th Jan 2024),23.7,6.5,50,,80
state university boise,boise,usa,M.S Materials Science and Engineering,Application Deadline For Fall Intake (10th Jan 2024),23.7,6.5,50,,80
state university boise,boise,usa,M.Eng Mechanical Engineering,Application Deadline For Fall Intake (10th Jan 2024),23.7,6.5,50,,80
state university boise,boise,usa,M.S Civil Engineering,Application Deadline For Fall Intake (10th Jan 2024),23.7,6.5,50,,80
state university boise,boise,usa,B.S Political Science (with an Emphasis in International Relations and Comparative Politics),Application Deadline For Spring Intake (1st Dec 2023),22.4,6.5,50,,80
university of southampton,southampton,uk,M.B.A,Application Deadline For 2024 Intake (31st May 2024),30.4,6.5,62,120,92
university of southampton,southampton,uk,M.Sc Data Science,Application Deadline For 2024 Intake (31st May 2024),32.7,6.5,62,120,92
university of southampton,southampton,uk,M.Sc Computer Science,Application Deadline For 2024 Intake (31st May 2024),32.7,6.5,120,62,92
university of southampton,southampton,uk,M.Sc Cyber Security,Application Deadline For 2024 Intake (31st May 2024),32.7,6,316,51,72
university of southampton,southampton,uk,M.B.B.S,UCAS Application Deadline for 2024 Intake (31st Jan 2024),29.3,6.5,51,,92
university of southampton,southampton,uk,M.Sc Artificial Intelligence,Application Deadline For 2024 Intake (31st May 2024),30.4,6,316,51,72
university of texas el,paso,usa,M.A Accountancy,Application Deadline for Spring Intake (15th Nov 2023),14.6,6.5,44,,79
university of texas el,paso,usa,M.S Computer Science,Application Deadline for Fall Intake (15th Feb 2024),14.6,6.5,44,,79
university of texas el,paso,usa,M.B.A,Application Deadline for Fall Intake (1st Apr 2024),15.9,6.5,44,700,79
university of texas el,paso,usa,M.S Construction Management,Application Deadline For Summer Intake (31st Jan 2024),14.6,6.5,44,,79
university of texas el,paso,usa,M.S Computer Engineering,Application Deadline for Fall Intake (1st Mar 2024),14.6,6.5,44,,79
university of texas el,paso,usa,M.A Clinical Psychology,Application Deadline for Fall Intake (15th Jan 2024),14.6,6.5,44,,79
university of alabama,birmingham,usa,M.B.A,Spring Application Deadline For 2024 Intake (1st Dec 2023),31.9,600,6.5,80,305
university of alabama,birmingham,usa,M.S Biology,Summer Application Deadline For 2024 Intake (15th Oct 2023),11.7,80,59,,6.5
university of alabama,birmingham,usa,M.S Biotechnology,Spring Application Deadline For 2024 Intake (1st Dec 2023),31.9,80,59,,6.5
university of alabama,birmingham,usa,M.Eng Construction Engineering Management,Spring Application Deadline For 2024 Intake (1st Dec 2023),12.1,80,59,,6.5
university of alabama,birmingham,usa,M.S Criminal Justice,Fall Application Deadline For 2024 Intake (1st Nov 2023),11.7,80,53,,6.5
university of alabama,birmingham,usa,M.S Forensic Science,Fall Application Deadline For 2024 Intake (31st Jan 2024),11.7,80,59,300,6.5
university of pisa,pisa,italy,M.S Data science and Business Informatics,Application Deadline For 2024 Intake (29th Feb 2024),2.1,90,,,
university of pisa,pisa,italy,M.S Computer Science,Application Deadline For 2024 Intake (29th Feb 2024),2.1,90,,,7
university of pisa,pisa,italy,M.S Aerospace Engineering,Application Deadline For 2024 Intake (29th Feb 2024),2.1,90,,,
university of pisa,pisa,italy,M.S Nuclear Engineering,Application Deadline For 2024 Intake (29th Feb 2024),2.1,90,,,7
university of pisa,pisa,italy,Master of Science [M.Sc} Cyber Security,Application Deadline For 2024 Intake (29th Feb 2024),2.1,,,,
university of pisa,pisa,italy,M.S Neuroscience,Application Deadline For 2024 Intake (29th Feb 2024),2.1,90,,,
kellogg school of management,evanston,usa,M.B.A,Round 3 Application Deadline (4th May 2024),44.8,7,700,326,100
kellogg school of management,evanston,usa,M.S Management Studies,Round 2 Application Deadline (24th Apr 2024),35.9,7,314,,100
kellogg school of management,evanston,usa,M.B.A,Round 3 Application Deadline (4th May 2024),46.6,7,640,301,100
kellogg school of management,evanston,usa,Ph.D Finance,Early Action Application Deadline (15th Dec 2023),44.9,7,,,100
kellogg school of management,evanston,usa,E.M.B.A,Round 1 Application Deadline (19th Apr 2024),64,7,640,301,100
kellogg school of management,evanston,usa,Ph.D Accounting Information and Management,Early Action Application Deadline (15th Dec 2023),44.9,7,,,100
university midway,midway,usa,M.B.A,Application Deadline For Spring Intake (1st Nov 2023),11.8,6.5,53,,80
university midway,midway,usa,M.B.A Tourism and Event Management,Application Deadline For Spring Intake (1st Nov 2023),11.8,6.5,53,,80
university midway,midway,usa,B.B.A Business Administration,Application Deadline For Spring Intake (1st Nov 2023),21.2,6,44,,61
university midway,midway,usa,M.B.A Health Care Administration,Application Deadline For Spring Intake (1st Nov 2023),21.2,6.5,53,,80
university midway,midway,usa,M.S Nursing,Application Deadline For Spring Intake (1st Nov 2023),11.8,6.5,53,,80
university midway,midway,usa,M.Ed Education,Application Deadline For Spring Intake (1st Nov 2023),6.2,6.5,53,,80
curtin university,perth,australia,M.S Nursing Practice,Application Deadline (3rd Jun 2024),18.7,6.5,79,,60
assumption college,worcester,usa,B.S Computer Science,Application Deadline (15th Mar 2024),40.3,6.5,53,,80
assumption college,worcester,usa,B.A/B.S Marketing,Application Deadline (15th Mar 2024),40.3,6.5,53,,80
assumption college,worcester,usa,M.B.A Health Management,Application Deadline For Spring Intake (15th Dec 2023),20.3,6.5,53,,80
assumption college,worcester,usa,B.A/B.S Philosophy,Application Deadline (15th Mar 2024),40.3,6.5,53,,80
assumption college,worcester,usa,B.A/B.S Communication,Application Deadline (15th Mar 2024),40.3,6.5,53,,80
assumption college,worcester,usa,B.A/B.S Biology,Application Deadline (15th Mar 2024),40.3,6.5,53,,80
vancouver island university,nanaimo,canada,Graduate Diploma Project Management,Application Deadline for September Intake (26th May 2024),13.9,7,60,,93
vancouver island university,nanaimo,canada,B.S Computer Science,Application Deadline for September Intake (31st Mar 2024),13.9,6.5,60,,88
vancouver island university,nanaimo,canada,Diploma Dental Hygiene,Application Deadline for September Intake (28th Apr 2024),13.9,6.5,60,,88
vancouver island university,nanaimo,canada,B.Des Graphic Design,Application Deadline for September Intake (31st Mar 2024),13.9,6.5,60,110,88
vancouver island university,nanaimo,canada,M.Ed Educationaleadership,Application Deadline for September Intake (28th Apr 2024),17,7,60,,93
vancouver island university,nanaimo,canada,Diploma Business Administration,Application Deadline for September Intake (28th Apr 2024),13.9,6.5,60,110,88
pennsylvania college of technology,williamsport,usa,B.S Aviation Maintenance Technology,Application Deadline For Fall Intake (1st May 2024),19.3,,,,
pennsylvania college of technology,williamsport,usa,B.S Automotive Technology Management,Application Deadline For Fall Intake (1st May 2024),19.3,,,,
pennsylvania college of technology,williamsport,usa,B.S Automated Manufacturing and Machining,Application Deadline For Fall Intake (1st May 2024),19.3,,,,
pennsylvania college of technology,williamsport,usa,B.S Business Administration- Banking and Finance Concentration,Application Deadline For Fall Intake (1st May 2024),19.3,,,,
pennsylvania college of technology,williamsport,usa,"B.S Building Automation Technology- Electronics Technology, Robotics and Automation Concentration",Application Deadline For Fall Intake (1st May 2024),19.3,,,,
pennsylvania college of technology,williamsport,usa,B.S Civil Engineering Technology,Application Deadline For Fall Intake (1st May 2024),19.3,,,,
saint state university st cloud,cloud,usa,M.S Computer Science,Application Deadline For Spring Intake (15th Oct 2023),11.1,5.5,53,,61
saint state university st cloud,cloud,usa,B.S Computer Engineering,Application Deadline For Spring Intake (1st Nov 2023),15.5,5.5,53,,61
saint state university st cloud,cloud,usa,M.S Technology Education,Final Application Deadline For Spring Intake (15th Oct 2023),11.1,5.5,53,,61
saint state university st cloud,cloud,usa,B.A Sociology,Application Deadline For Spring Intake (1st Nov 2023),15.5,5.5,53,,61
saint state university st cloud,cloud,usa,B.A/B.S Graphic Design,Application Deadline For Spring Intake (1st Nov 2023),15.5,5.5,53,,61
saint state university st cloud,cloud,usa,B.A Art,Application Deadline For Spring Intake (1st Nov 2023),15.5,5.5,53,,61
yeshiva university new york,city,usa,M.S Data Analytics and Visualization,Application Deadline For Spring Intake (15th Dec 2023),29.1,6.5,296,,80
yeshiva university new york,city,usa,M.S Cybersecurity,Application Deadline For Spring Intake (15th Dec 2023),32.7,82,,,296
yeshiva university new york,city,usa,M.S Marketing,Application Deadline For Spring Intake (15th Dec 2023),29.1,,,,
yeshiva university new york,city,usa,M.S Biotechnology Management and Entrepreneurship,Application Deadline For Spring Intake (15th Dec 2023),29.1,,,,
yeshiva university new york,city,usa,B.A/B.S Marketing,Early Decision Honors Application Deadline For Fall 2024 Intake (1st Nov 2023),41.4,,,,
yeshiva university new york,city,usa,B.A Psychology,Early Decision Honors Application Deadline For Fall 2024 Intake (1st Nov 2023),41.4,,,,
washburn university,topeka,usa,B.S Computer Information Sciences,Application Deadline For Spring Intake (15th Nov 2023),18.2,6.5,49,,80
washburn university,topeka,usa,B.S Criminal Justice -aw Enforcement,Application Deadline For Spring Intake (15th Nov 2023),18.2,6.5,49,,80
washburn university,topeka,usa,B.S Criminal Justice - Security Administration,Application Deadline For Spring Intake (15th Nov 2023),18.2,6.5,49,,80
washburn university,topeka,usa,L.L.M Studies inaw - Business and Transactional,Application Deadline For Spring Intake (15th Nov 2023),22.6,6.5,49,,80
washburn university,topeka,usa,B.S Forensic Anthropology,Application Deadline For Spring Intake (15th Nov 2023),18.2,6.5,49,,80
washburn university,topeka,usa,B.A Computer Information Science with Digital Forensics,Application Deadline For Spring Intake (15th Nov 2023),18.2,6.5,49,,80
university karlstad,karlstad,sweden,M.A Region Building,Application Deadline For Spring Intake (15th Oct 2023),12.5,,,,
university karlstad,karlstad,sweden,M.S Biology with Specialisation in Stream Ecology,Application Deadline For Spring Intake (15th Oct 2023),9.7,,,,
university karlstad,karlstad,sweden,M.S Accounting and Control,Application Deadline For Spring Intake (15th Oct 2023),12.5,,,,
university karlstad,karlstad,sweden,M.S Computer Science,Application Deadline For Spring Intake (15th Oct 2023),12.5,,,,
university karlstad,karlstad,sweden,M.S Chemical Engineering,Application Deadline For Spring Intake (15th Oct 2023),12.5,,,,
university karlstad,karlstad,sweden,M.S Marketing,Application Deadline For Spring Intake (15th Oct 2023),12.5,,,,
