Program Name,University Name,Location
Bachelor's Degree in Economics and Philosophy,University of Southampton,"Southampton, England"
Bachelor's Degree in Environmental Science,University of Southampton,"Southampton, England"
Bachelor's Degree in Education and Psychology,University of Southampton,"Southampton, England"
Global Bachelor's Degree in International Business,Universidad Europea,"Madrid, Spain"
Bachelor's Degree in Film and French,University of Southampton,"Southampton, England"
Bachelor's Degree in Mathematics with French,University of Southampton,"Southampton, England"
Bachelor's Degree in Politics and French,University of Southampton,"Southampton, England"
Bachelor's Degree in German and History,University of Southampton,"Southampton, England"
Bachelor's Degree in Mathematics with Statistics,University of Southampton,"Southampton, England"
Bachelor's Degree in Economics and Accounting,University of Southampton,"Southampton, England"
Bachelor's Degree in Mathematical Sciences,University of Southampton,"Southampton, England"
Bachelor's Degree in English and History,University of Southampton,"Southampton, England"
Bachelor's Degree in French and Music,University of Southampton,"Southampton, England"
Bachelor's Degree in Cardiac Physiology,University of Southampton,"Southampton, England"
Bachelor's Degree in Statistics and Business,University Carlos III of Madrid,"Getafe, Spain"
Bachelor's Degree in Archaeology and Anthropology,University of Southampton,"Southampton, England"
Bachelor's Degree in Population Geography,University of Southampton,"Southampton, England"
Bachelor's Degree in Fashion Design,University of Southampton,"Southampton, England"
Bachelor's Degree in Biomedical Engineering,University of Southampton,"Southampton, England"
Bachelor's Degree in Archaeology and History,University of Southampton,"Southampton, England"
Bachelor's Degree in Accounting and Finance,University of Southampton,"Southampton, England"
Bachelor's Degree in French and History,University of Southampton,"Southampton, England"
Bachelor's Degree in Ancient History,University of Southampton,"Southampton, England"
Bachelor's Degree in Applied Mathematics and Computing,University Carlos III of Madrid,"Getafe, Spain"
Bachelor's Degree in Electrical Engineering,University of Southampton,"Southampton, England"
Bachelor's Degree in Philosophy and Mathematics,University of Southampton,"Southampton, England"
Bachelor's Degree in Philosophy and Sociology,University of Southampton,"Southampton, England"
Bachelor's Degree in Sociology and Anthropology,University of Southampton,"Southampton, England"
Bachelor's Degree in Philosophy and English,University of Southampton,"Southampton, England"
Double Bachelor's Degree in Bioeconomy,Wroclaw University of Environmental and Life Sciences,"Wroclaw, Poland"
"Bachelor's Degree in Philosophy, Politics and Economics",University Carlos III of Madrid,"Getafe, Spain"
Bachelor's degree in Fashion Design,Macromedia University of Applied Sciences,"Berlin, Germany"
Bachelor's Degree in Mathematics with Finance,University of Southampton,"Southampton, England"
Bachelor's Degree in Software Engineering,University of Southampton,"Southampton, England"
Bachelor's Degree in Philosophy and Music,University of Southampton,"Southampton, England"
Bachelor Degree in Business Administration and Management,ESIC Business & Marketing School,Multiple (2)
Bachelor's Degree in Fine Art,University of Southampton,"Southampton, England"
Bachelor's Degree in Philosophy and History,University of Southampton,"Southampton, England"
Bachelor's Degree in Geophysical Sciences,University of Southampton,"Southampton, England"
Bachelor's Degree in Acoustics with Music,University of Southampton,"Southampton, England"
Bachelor's Degree in Dentistry - English Programme,Universitat Internacional de Catalunya,"Barcelona, Spain"
Bachelor's Degree in Audiovisual Communication,Universitat Internacional de Catalunya,"Barcelona, Spain"
Bachelor's Degree in German and Music,University of Southampton,"Southampton, England"
Bachelor's Degree in Film and Philosophy,University of Southampton,"Southampton, England"
Bachelor's Degree in Telematics Engineering,University Carlos III of Madrid,"Leganés, Spain"
Bachelor's Degree in Environmental Geoscience,University of Southampton,"Southampton, England"
Bachelor's Degree in Sociology and Criminology,University of Southampton,"Southampton, England"
Bachelor's Degree in Film Studies,University of Southampton,"Southampton, England"
Bachelor's Degree in Energy Engineering,University Carlos III of Madrid,"Leganés, Spain"
Bachelor's Degree in Finance and Accounting,University Carlos III of Madrid,"Getafe, Spain"
Bachelor's Degree in Humanities & Cultural Studies,Universitat Internacional de Catalunya,"Barcelona, Spain"
Bachelor's Degree in Fundamentals of Architecture + Master's Degree in Architecture,Universidad Europea,"Madrid, Spain"
Bachelor's Degree in Film and History,University of Southampton,"Southampton, England"
Bachelor's Degree in Ship Science,University of Southampton,"Southampton, England"
Bachelor's Degree in Aerospace and Aircraft Engineering,Universidad Europea,"Madrid, Spain"
Bachelor's Degree in Business Management,University of Southampton,"Southampton, England"
Bachelor's Degree in Business Entrepeneurship,University of Southampton,"Southampton, England"
Bachelor's Degree in Business Analytics,University of Southampton,"Southampton, England"
Bachelor's Degree in Textile Design,University of Southampton,"Southampton, England"
Bachelor's Degree in Economics and Finance,University of Southampton,"Southampton, England"
Bachelor of Laws (Evening degree programme),University of Limerick,"Limerick, Ireland"
Bachelor's Degree in Electronic Engineering,University of Southampton,"Southampton, England"
Bachelor's Degree in Film and English,University of Southampton,"Southampton, England"
Bachelor in Civil Engineering (Short degree Program),Saxion University of Applied Sciences,"Deventer, Netherlands"
Bachelor's Degree in Civil Engineering,University of Southampton,"Southampton, England"
Bachelor in Tourism Management (Short degree Program),Saxion University of Applied Sciences,"Deventer, Netherlands"
Bachelor's Degree in Graphic Arts,University of Southampton,"Southampton, England"
Bachelor Degree in Business Administration and Management,Universidad CEU San Pablo,"Madrid, Spain"
Bachelor's Degree in Communication System Engineering,University Carlos III of Madrid,"Leganés, Spain"
Global Bachelor's Degree in International Relations,Universidad Europea,Multiple (2)
Bachelor's Degree in Audiovisual System Engineering,University Carlos III of Madrid,"Leganés, Spain"
Bachelor's Degree in Electrical Power Engineering,University Carlos III of Madrid,"Leganés, Spain"
Bachelor's Degree in English and Creative Writing,University of Southampton,"Southampton, England"
"Bachelor's Degree in Philosophy, Ethics and Religion",University of Southampton,"Southampton, England"
Bachelor's Degree in International Relations and the European Union,Universidad CEU San Pablo,"Madrid, Spain"
Bachelor's Degree in Telecommunication Technologies Engineering,University Carlos III of Madrid,"Leganés, Spain"
Bachelor's Degree in Fashion Marketing with Management,University of Southampton,"Southampton, England"
Bachelor's Degree in Modern History and Politics,University of Southampton,"Southampton, England"
Bachelor in Hotel Management (Short degree Program),Saxion University of Applied Sciences,"Deventer, Netherlands"
Bachelor's Degree in Advertising and Public Relations,Universitat Internacional de Catalunya,"Barcelona, Spain"
Bachelor Degree in International Hospitality and Tourism Management,"The Global American University, Schiller","Madrid, Spain"
Bachelor's Degree in Economics with Data Science,University of Southampton,"Southampton, England"
Bachelor's Degree in Physical Activity and Sport Sciences,Universidad Europea,"Madrid, Spain"
Bachelor's Degree in Aeronautics and Astronautics (BEng),University of Southampton,"Southampton, England"
Bachelor's Degree in Mathematics with Actuarial Science,University of Southampton,"Southampton, England"
Bachelor's Degree in Computer Science and Engineering,University Carlos III of Madrid,"Leganés, Spain"
"Bachelor's Degree in Economics (Spanish, English)",University Carlos III of Madrid,"Getafe, Spain"
Bachelor's Degree in Ancient History and History,University of Southampton,"Southampton, England"
Bachelor's Degree in Mathematics with Computer Science,University of Southampton,"Southampton, England"
Bachelor's Degree in Business Management and French,University of Southampton,"Southampton, England"
Bachelor's Degree in International Legal Studies,University of Southampton,"Southampton, England"
Bachelor's Degree in Oceanography with Physical Geography,University of Southampton,"Southampton, England"
Bachelor's Degree in Digital Business,ESIC Business & Marketing School,Multiple (2)
Bachelor's Degree in Economics and Actuarial Science,University of Southampton,"Southampton, England"
Bachelor's Degree in Electrical and Electronic Engineering,University of Southampton,"Southampton, England"
Bachelor's Degree in Mechanical Engineering (BEng),University of Southampton,"Southampton, England"
Bachelor's Degree in Biology and Marine Biology,University of Southampton,"Southampton, England"
Bachelor's Degree in Ancient History and Philosophy,University of Southampton,"Southampton, England"
Bachelor's Degree in Mechatronic Engineering (BEng),University of Southampton,"Southampton, England"
Bachelor's Degree in English Language and Literature,University of Southampton,"Southampton, England"
Bachelor's Degree in Fashion Styling & Communication,Accademia del Lusso School of Fashion & Design,"Milan, Italy"
Bachelor's Degree in Business Administration - English Program,Universitat Internacional de Catalunya,"Barcelona, Spain"
Bachelor's Degree in Economics and Business Management,University of Southampton,"Southampton, England"
Bachelors in Finance,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Bachelor's Degree in Industrial Electronics and Automation Engineering,University Carlos III of Madrid,"Leganés, Spain"
Bachelor's Degree in Politics and International Relations,University of Southampton,"Southampton, England"
Bachelor's Degree in Ancient History and Archaeology,University of Southampton,"Southampton, England"
Bachelor's Degree in English Language and Linguistics,University of Southampton,"Southampton, England"
Bachelor's Degree in Acoustical Engineering (BEng),University of Southampton,"Southampton, England"
Bachelor's Degree in Law with Psychology LLB,University of Southampton,"Southampton, England"
Bachelor's Degree in Fashion Design (English or Spanish),LCI Barcelona,"Barcelona, Spain"
Bachelor's Degree in Graphic Design (in Spanish only),LCI Barcelona,"Barcelona, Spain"
Bachelor in International Finance & Accounting (Short degree Program),Saxion University of Applied Sciences,"Deventer, Netherlands"
Bachelor's Degree in Interior Design (in Spanish only),LCI Barcelona,"Barcelona, Spain"
Bachelor's Degree in Management of Information and Digital Contents,University Carlos III of Madrid,"Getafe, Spain"
Bachelor's Degree in Finance and Financial Technology,University of Southampton,"Southampton, England"
Bachelor in Management,ICN Business School,Multiple (2)
Bachelor in Psychology,UCAM / Universidad Catolica De Murcia,"Murcia, Spain"
Bachelor's Degree in Employment and Labour Relations (Spanish),University Carlos III of Madrid,"Getafe, Spain"
"Nursing Top-Up Degree, Bachelor of Health Care",Metropolia University of Applied Sciences,"Helsinki, Finland"
Bachelor of Medicine and Bachelor of Surgery (MB ChB),University of Otago,"Dunedin, New Zealand"
Bachelor of Laws,Charles Darwin University,"Darwin, Australia"
"Bachelor's Degree in Film, Television and Media Studies",University Carlos III of Madrid,"Getafe, Spain"
European Bachelor Programs,University of New York in Prague,"Prague, Czech Republic"
Bachelor of Commerce,Carleton University,"Ottawa, Canada"
Bachelor of Philosophy,KU Leuven,"Leuven, Belgium"
Bachelor's degree in Media and Communication Management,Macromedia University of Applied Sciences,"Berlin, Germany"
Bachelors in Nanotechnology,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Bachelor's degree in Media and Communication Design,Macromedia University of Applied Sciences,"Berlin, Germany"
Software Technology Bachelor's degree,Linnaeus University,"Växjö, Sweden"
Bachelor's Degree in Games Design and Art,University of Southampton,"Southampton, England"
Bachelor's Degree in Aerospace Electronic Engineering (BEng),University of Southampton,"Southampton, England"
Bachelor's degree in Music Management,Macromedia University of Applied Sciences,"Berlin, Germany"
Bachelor in Dentistry,UCAM / Universidad Catolica De Murcia,"Murcia, Spain"
Bachelor in Business,Hanken School of Economics,"Helsinki, Finland"
Bachelor in Electrical & Electronic Engineering (short degree program),Saxion University of Applied Sciences,"Enschede, Netherlands"
Bachelors in Architecture and Construction,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Bachelors in Computer Science,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Bachelor of Arts,Charles Darwin University,"Darwin, Australia"
Bachelor's Degree in European Legal Studies (LLB),University of Southampton,"Southampton, England"
Bachelor of Mathematics,Carleton University,"Ottawa, Canada"
"Bachelor of Medicine, Bachelor of Surgery (Graduate Entry)",University of Limerick,"Limerick, Ireland"
Global Bachelor Double Degree in International Business and International Relations,Universidad Europea,"Madrid, Spain"
Bachelor's in Psychology,Universidad Europea,"Madrid, Spain"
Berghs Bachelor Program,Berghs School of Communication,"Stockholm, Sweden"
Bachelor of Paramedicine,Charles Darwin University,"Darwin, Australia"
Bachelor of Business Studies,University of Limerick,"Limerick, Ireland"
Double Bachelor's Degree in Business Administration and Industrial Production Engineering,Universitat Internacional de Catalunya,Multiple (2)
Double Bachelor's Degree in Humanities and Cultural Studies and Business Administration,Universitat Internacional de Catalunya,Multiple (2)
Business Administration (Bachelor),Cyprus Health and Social Sciences University,"Morphou, Cyprus"
Bachelor of International Business,Carleton University,"Ottawa, Canada"
Bachelor of Science,Ecole Polytechnique,"Paris, France"
Bachelors in Engineering,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Bachelors in Electrical Engineering,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Bachelor of Engineering,Carleton University,"Ottawa, Canada"
Bachelor of Social Work,Carleton University,"Ottawa, Canada"
Bachelor of Economics,Carleton University,"Ottawa, Canada"
Bachelor of Dance,Fontys School of Fine & Performing Arts,"Tilburg, Netherlands"
Bachelor in Global Business,United International Business Schools,"Multiple (9)

Amsterdam,
Antwerp,
Barcelona,
Brussels,
Geneva,
Madrid,
Milan,
Tokyo,
Zurich,"
Bachelor in Business Analytics,Universidad Europea,"Madrid, Spain"
Bachelor in Business Analytics,Universidad Europea,"Madrid, Spain"
Bachelor of Science in Business Administration,Swiss School of Business and Management Geneva,"Geneva, Switzerland"
Bachelor of Drama,University of Pretoria - Faculty of Humanities,"Pretoria, South Africa"
Bachelor of Architecture,University of Limerick,"Limerick, Ireland"
Bachelor of Journalism and Humanities,Carleton University,"Ottawa, Canada"
Bachelor of Arts,Carleton University,"Ottawa, Canada"
Bachelor of Music,University of Pretoria - Faculty of Humanities,"Pretoria, South Africa"
Bachelors in Geoinformatics,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Bachelor of Science in Physiotherapy,University of Limerick,"Limerick, Ireland"
Bachelor in Design Management,"ESDi, Design Higher Education School","Barcelona, Spain"
Bachelors in Electronics,Transport and Telecommunication Institute,"Riga, Latvia"
Bachelor in Economics,Latvia University of Life Sciences and Technologies,"Jelgava, Latvia"
Bachelor of Midwifery,Charles Darwin University,"Darwin, Australia"
Bachelor of Theology (BTh),University of Pretoria - Faculty of Theology and Religion,"Pretoria, South Africa"
Bachelor of Nursing,Charles Darwin University,Multiple (2)
Bachelor of Science,Charles Darwin University,"Darwin, Australia"
Bachelor of Journalism,Carleton University,"Ottawa, Canada"
Bachelor of Information Technology,Carleton University,"Ottawa, Canada"
Bachelor of Science in Informatics,Università della Svizzera italiana,"Lugano, Switzerland"
Bachelor of Cognitive Science,Carleton University,"Ottawa, Canada"
Bachelor of Entrepreneurship (BEntr),University of Otago,"Dunedin, New Zealand"
Bachelor of Architectural Studies,Carleton University,"Ottawa, Canada"
Bachelor of Science in Psychology,University of Limerick,"Limerick, Ireland"
Bachelor of Physiotherapy (BPhty),University of Otago,"Dunedin, New Zealand"
Bachelor of Business Management,VIVES University of Applied Sciences,"Kortrijk, Belgium"
"Physiotherapy Top-Up Degree, Bachelor of Social Services and Health Care",Metropolia University of Applied Sciences,"Helsinki, Finland"
Double Bachelor's Degree in Business Administration + Engineering Management,Universitat Internacional de Catalunya,Multiple (2)
Bachelor in Business Psychology,WHU - Otto Beisheim School of Management,"Vallendar, Germany"
Bachelor in Landscape Architecture and Planning,Latvia University of Life Sciences and Technologies,"Jelgava, Latvia"
Bachelor of Arts,University of Limerick,"Limerick, Ireland"
Bachelor of Science in Bioscience,University of Limerick,"Limerick, Ireland"
Bachelor in Analytical Finance,Mälardalen University,"Västerås, Sweden"
Bachelor's Program in Economics,Aalto University,"Espoo, Finland"
Bachelor of Psychological Science,Charles Darwin University,"Darwin, Australia"
Bachelor of Digital Enterprise,Charles Darwin University,"Darwin, Australia"
Bachelor in Hotel Management,Saxion University of Applied Sciences,"Deventer, Netherlands"
"Electronics, Bachelor of Engineering",Metropolia University of Applied Sciences,"Helsinki, Finland"
American Bachelor in Psychology,University of New York in Prague,"Prague, Czech Republic"
Bachelor of Oral Health (BOH),University of Otago,"Dunedin, New Zealand"
Bachelor of Music (BMus),Carleton University,"Ottawa, Canada"
Bachelor of Pharmacy (BPharm),University of Otago,"Dunedin, New Zealand"
Bachelor's Program in International Business,Aalto University,"Mikkeli, Finland"
Bachelors in Civil Engineering,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Bachelor of Arts (Honours),Charles Darwin University,"Darwin, Australia"
Bachelor Fashion Design,ArtEZ University of the Arts,"Arnhem, Netherlands"
Bachelor in Business & Management,MCI |The Entrepreneurial School®,"Innsbruck, Austria"
Bachelor of Public Health,Charles Darwin University,"Darwin, Australia"
Bachelor of Surveying (BSurv),University of Otago,"Dunedin, New Zealand"
Bachelor of Performing Arts (BPA),University of Otago,"Dunedin, New Zealand"
Bachelor of Laws Honours,Charles Darwin University,"Darwin, Australia"
Bachelor of Education Primary,Charles Darwin University,"Darwin, Australia"
Bachelor in Marketing,Unicaf University,"Lusaka, Zambia"
LLB Bachelor of Laws,Unicaf University,"Lusaka, Zambia"
Bachelor of Health Sciences,Carleton University,"Ottawa, Canada"
Bachelor of Engineering in Biotechnology,University College Absalon,"Kalundborg, Denmark"
Bachelor's Program in Science,University of Helsinki,"Helsinki, Finland"
Bachelor of Science in Paramedic Studies,University of Limerick,"Limerick, Ireland"
Bachelor of Computer Science,Charles Darwin University,"Darwin, Australia"
Bachelor in Product Design,"ESDi, Design Higher Education School","Barcelona, Spain"
Bachelor of Laws (LLB),University of Otago,"Dunedin, New Zealand"
Bachelor of Theology and Religious Studies,KU Leuven,"Leuven, Belgium"
Bachelor of Education Secondary,Charles Darwin University,"Darwin, Australia"
Bachelor in Management & Technology,TUM School of Management Heilbronn,"Heilbronn, Germany"
Bachelor of Engineering Science,Charles Darwin University,"Darwin, Australia"
Bachelor of Environmental Science,Charles Darwin University,"Darwin, Australia"
Bachelor in Audiovisual Design,"ESDi, Design Higher Education School","Barcelona, Spain"
Bachelor of Science in Communication,Università della Svizzera italiana,"Lugano, Switzerland"
Bachelors in Forest and Landscape,SLU - Swedish University of Agricultural Sciences,"Alnarp, Sweden"
Bachelor of Commerce and Science (BComSc),University of Otago,"Dunedin, New Zealand"
Bachelor in Business Administration,MCI |The Entrepreneurial School®,"Innsbruck, Austria"
Bachelor of Social Work (BSW),University of Otago,"Dunedin, New Zealand"
Bachelor of Information Technology,Charles Darwin University,"Darwin, Australia"
Bachelors in Applied Geology,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Nursing (Bachelor),Cyprus Health and Social Sciences University,"Morphou, Cyprus"
Bachelor in Mechanical Engineering,"Hanze University of Applied Sciences, Groningen","Groningen, Netherlands"
Bachelor in Sustainable Agriculture,Latvia University of Life Sciences and Technologies,"Jelgava, Latvia"
Bachelor of Health Science,Charles Darwin University,"Darwin, Australia"
Bachelor of Business Administration,KU Leuven,"Brussels, Belgium"
Bachelor of Arts and Commerce (BACom),University of Otago,"Dunedin, New Zealand"
Bachelor of Science in Biomedical Science,University of Limerick,"Limerick, Ireland"
Bachelor of Industrial Design,Carleton University,"Ottawa, Canada"
Bachelors in Materials Engineering,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
"Bachelor of Accounting, Diploma of Laws",Charles Darwin University,"Darwin, Australia"
Bachelor of Engineering Honours,Charles Darwin University,"Darwin, Australia"
Bachelor of Business Engineering,KU Leuven,"Brussels, Belgium"
Bachelor in Electrical Engineering,Kaunas University of Technology,"Kaunas, Lithuania"
Bachelor of Laws (Graduate Entry),Charles Darwin University,"Darwin, Australia"
Bachelor in International Business (BIB),Grenoble Ecole de Management,"Grenoble, France"
Bachelor in Dance,Lithuanian Academy of Music and Theatre,"Vilnius, Lithuania"
Bachelor in Marketing Management,NHL Stenden University of Applied Sciences,"Emmen, Netherlands"
Bachelor of Business Administration,UCAM / Universidad Catolica De Murcia,"Murcia, Spain"
Bachelor of Divinity (Bdiv),University of Pretoria - Faculty of Theology and Religion,"Pretoria, South Africa"
Bachelor in Fashion Design,"ESDi, Design Higher Education School","Barcelona, Spain"
Advanced Bachelor International Management,VIVES University of Applied Sciences,"Kortrijk, Belgium"
Design and Change- Bachelor's Programme,Linnaeus University,"Växjö, Sweden"
Bachelor of Arts and Science (BASc),University of Otago,"Dunedin, New Zealand"
Bachelor of Media Production and Design,Carleton University,"Ottawa, Canada"
Bachelor in Automation and Control,Kaunas University of Technology,"Kaunas, Lithuania"
Bachelor of Social Work,Charles Darwin University,"Darwin, Australia"
Bachelor of Humanities (Great Books),Carleton University,"Ottawa, Canada"
Bachelor in Sensor Technology,"Hanze University of Applied Sciences, Groningen","Groningen, Netherlands"
Online Bachelor of Science of International Management,Swiss School of Business and Management Geneva,"Geneva, Switzerland"
Online Bachelor of Science in Information Technology,Swiss School of Business and Management Geneva,"Geneva, Switzerland"
Bachelor in Health Psychology,Lithuanian University of Health Sciences,"Kaunas, Lithuania"
Bachelor's Program in Chemical Engineering,Aalto University,"Espoo, Finland"
Bachelor of Commerce (BCom) Majoring in Tourism,University of Otago,"Dunedin, New Zealand"
Bachelors in Engineering (Robotics),VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Bachelor of Computer Science,Carleton University,"Ottawa, Canada"
Bachelor of Arts in Mathematics,Hanover College,"Hanover, United States of America"
Bachelor Moving Image,ArtEZ University of the Arts,"Enschede, Netherlands"
Bachelor of Music Extended Program,University of Pretoria - Faculty of Humanities,"Pretoria, South Africa"
Bachelor in Electrical & Electronic Engineering,Saxion University of Applied Sciences,"Enschede, Netherlands"
Bachelor of Arts in Psychology,Hanover College,"Hanover, United States of America"
Bachelor of Pharmaceutical Science (BPharmSc),University of Otago,"Dunedin, New Zealand"
Bachelor in International Studies,Hamilton Lugar School of Global & International Studies - Indiana University,"Bloomington, United States of America"
American Bachelor of Information Technology,University of New York in Prague,"Prague, Czech Republic"
Bachelor of Education in Languages,University of Limerick,"Limerick, Ireland"
Bachelor of Laws (Honours),The Open University,"Buckinghamshire, England"
Bachelor in Information Technology,NHL Stenden University of Applied Sciences,"Emmen, Netherlands"
Bachelor's Program in Data Science,Aalto University,"Espoo, Finland"
Bachelor of Science in Artificial Intelligence,University of Pavia,"Pavia, Italy"
Bachelor of Communication and Media Studies,Carleton University,"Ottawa, Canada"
