Program Name,University Name,Location
Doctorate in Mathematics,Universidade de Aveiro,"Aveiro, Portugal"
PhD - Doctor of Philosophy in Dentistry Thesis (Non Clinical),University of Otago,"Dunedin, New Zealand"
DBA - Doctorate of Business Administration,IPAG Business School,"Paris, France"
Doctorate in Tourism,Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Education,Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Language Sciences,Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Gerontology and Geriatrics,Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Advanced Materials and Processing,Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Geosciences,Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Telecommunications- MAP-Tele,Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Cultural Studies,Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Business and Economics,Universidade de Aveiro,"Aveiro, Portugal"
Healthcare Practice - Professional Doctorate,University of Limerick,"Limerick, Ireland"
Professional Doctorate in Education,Bath Spa University,"Bath, England"
Doctorate in Artistic Creation,Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Literary Studies,Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Electrical Engineering (Taught in English),Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Materials Science and Engineering (Taught in English),Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in New Media,Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Physical Engineering,Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Civil Engineering,Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Rehabilitation Sciences,Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Translation and Terminology,Universidade de Aveiro,"Aveiro, Portugal"
Doctor of Philosophy (Gerontology),Singapore University of Social Sciences,"Singapore (City), Singapore"
SSBM DBA/Doctorate Programs,Swiss School of Business and Management Geneva,"Geneva, Switzerland"
"Doctorate in Refining, Petrochemical and Chemical Engineering",Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Multimedia in Education,Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in History of Sciences and Scientific Education,Universidade de Aveiro,"Aveiro, Portugal"
"Doctorate in Territory, Risk and Public Policies",Universidade de Aveiro,"Aveiro, Portugal"
DU - Executive Doctorate in Business Administration (EDBA),Université Côte d'Azur,"Nice, France"
PhD in Tourism,University of Algarve,"Faro, Portugal"
Doctorate in Marketing and Strategy (Taught in English),Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Information and Communication in Digital Platforms,Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Industrial Engineering and Management,Universidade de Aveiro,"Aveiro, Portugal"
PhD in Administration (PhD),Schulich School of Business - York University,"Toronto, Canada"
Doctorate in Nanosciences and Nanotechnology,Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Chemical Engineering,Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Physics - MAP-Fis (Taught in English),Universidade de Aveiro,"Aveiro, Portugal"
PhD in Materials Engineering,Kaunas University of Technology,"Kaunas, Lithuania"
Doctorate in Sustainable Chemistry,Universidade de Aveiro,"Aveiro, Portugal"
"Doctorate in Marine Science, Technology and Management",Universidade de Aveiro,"Aveiro, Portugal"
Doctor of Engineering,Engineering Institute of Technology,"Perth, Australia"
Doctorate in Computer Science - MAP- (Taught in English),Universidade de Aveiro,"Aveiro, Portugal"
PhD in Physics,Kaunas University of Technology,"Kaunas, Lithuania"
PhD in Economics,Kaunas University of Technology,"Kaunas, Lithuania"
PhD in Management,Kaunas University of Technology,"Kaunas, Lithuania"
PhD in Theology (in German),Karoli Gaspar University,"Budapest, Hungary"
Doctorate in Biology (Taught in English),Universidade de Aveiro,"Aveiro, Portugal"
PhD in Chemistry,Kaunas University of Technology,"Kaunas, Lithuania"
PhD in Environmental Engineering,Kaunas University of Technology,"Kaunas, Lithuania"
Human Performance and Innovation - Professional Doctorate,University of Limerick,"Limerick, Ireland"
Doctorate in Energy Systems and Climate Change,Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Food Science and Technology and Nutrition,Universidade de Aveiro,"Aveiro, Portugal"
Social Sciences (Professional Doctorate) DSSci,University of Dundee,"Dundee, Scotland"
Doctorate in Biology and Ecology of Global Changes (Taught in English),Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Computer Engineering (Taught in English),Universidade de Aveiro,"Aveiro, Portugal"
Art and Design (Professional Doctorate) DProf,University of Dundee,"Dundee, Scotland"
PhD in Multilingualism (Linguistics),University of Pannonia,"Veszprém, Hungary"
PhD in Mechanical Engineering,Kaunas University of Technology,"Kaunas, Lithuania"
PhD in Informatics Engineering,Kaunas University of Technology,"Kaunas, Lithuania"
PhD in Civil Engineering,Kaunas University of Technology,"Kaunas, Lithuania"
Doctor of Philosophy,Singapore University of Social Sciences,"Singapore (City), Singapore"
PhD in History and Theory of Arts,Kaunas University of Technology,"Kaunas, Lithuania"
On Campus Doctor of Engineering,Engineering Institute of Technology,Multiple (2)
PhD in Informatics,Kaunas University of Technology,"Kaunas, Lithuania"
PhD (Consumer Science) (Development),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
Doctor of Business Administration DBA,De Montfort University,"Leicester, England"
PhD (Organisational Behaviour),University of Pretoria - Faculty of Economic and Management Science,"Pretoria, South Africa"
PhD in Electrical and Electronic Engineering,Kaunas University of Technology,"Kaunas, Lithuania"
PhD in Applied Mechanics,Technical University of Liberec,"Liberec, Czech Republic"
Doctorate in Environmental Sciences and Engineering (Taught in English),Universidade de Aveiro,"Aveiro, Portugal"
PhD in Measurement Engineering,Kaunas University of Technology,"Kaunas, Lithuania"
PhD in Energetics and Power Engineering,Kaunas University of Technology,"Kaunas, Lithuania"
Doctoral Program in Music,University of the Arts Helsinki,"Helsinki, Finland"
Doctor of Education (EdD),University of Otago,"Dunedin, New Zealand"
PhD in Machine and Equipment Design,Technical University of Liberec,"Liberec, Czech Republic"
PhD in Law and Political Sciences,Karoli Gaspar University,"Budapest, Hungary"
Doctor of Clinical Dentistry (DClinDent),University of Otago,"Dunedin, New Zealand"
Doctorate of Business Administration (DBA),Grenoble Ecole de Management,Multiple (3)
PhD in Economics and Management,Technical University of Liberec,"Liberec, Czech Republic"
PhD in Technologies and Materials,Technical University of Liberec,"Liberec, Czech Republic"
Doctoral Program in Fine Arts,University of the Arts Helsinki,"Helsinki, Finland"
Biomedical Engineering PhD,South Dakota School of Mines & Technology,"Rapid City, United States of America"
Doctor of Business Administration,Singapore University of Social Sciences,"Singapore (City), Singapore"
Doctor of Physical Therapy (DPT),Husson University,"Bangor, United States of America"
Creative Writing Phd,Bath Spa University,"Bath, England"
Doctoral Program in Psychology: Emotion and Wellbeing,Faculty of Human Sciences - Universidade Católica Portuguesa,"Lisbon, Portugal"
PhD (Neurology),University of Pretoria - Faculty of Health Sciences,"Pretoria, South Africa"
PhD (Paediatrics),University of Pretoria - Faculty of Health Sciences,"Pretoria, South Africa"
PhD in Technical Cybernetics,Technical University of Liberec,"Liberec, Czech Republic"
PhD in Sociology,Kaunas University of Technology,"Kaunas, Lithuania"
Online Doctor of Business Administration (DBA) Dissertation Track,Swiss School of Business and Management Geneva,"Geneva, Switzerland"
International PhD Course in Molecular Medicine,Vita-Salute San Raffaele University,"Milan, Italy"
PhD in Finance,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Structured PhD in Applied Languages,University of Limerick,"Limerick, Ireland"
PhD in Earth Sciences,University of Pécs,"Pécs, Hungary"
Doctor of Business Administration (DBA),University of Otago,"Dunedin, New Zealand"
PhD in Economics,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Doctor of Business Administration (DBA),Geneva Business School - Barcelona,"Barcelona, Spain"
Doctor of Business Administration (DBA),Geneva Business School - Geneva,"Geneva, Switzerland"
Doctor of Business Administration (DBA),Geneva Business School - Madrid,"Madrid, Spain"
PhD in Clinical Neurosciences,University of Pécs,"Pécs, Hungary"
PhD studies in Agronomy,Vytautas Magnus University,"Kaunas, Lithuania"
PhD (Medical Physics),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
PhD in Biology,University of Pécs,"Pécs, Hungary"
PhD in Chemistry,University of Pécs,"Pécs, Hungary"
PhD in Energy Processes,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Doctor of Musical Arts (DMA),University of Otago,"Dunedin, New Zealand"
PhD (Metallurgy),"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
PhD (Chemical Pathology),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
PhD (Health Ethics),University of Pretoria - Faculty of Health Sciences,"Pretoria, South Africa"
PhD (Human Genetics),University of Pretoria - Faculty of Health Sciences,"Pretoria, South Africa"
PhD (Human Physiology),University of Pretoria - Faculty of Health Sciences,"Pretoria, South Africa"
PhD (Internal Medicine),University of Pretoria - Faculty of Health Sciences,"Pretoria, South Africa"
PhD (Medical Microbiology),University of Pretoria - Faculty of Health Sciences,"Pretoria, South Africa"
PhD (Obstetrics and Gynaecology),University of Pretoria - Faculty of Health Sciences,"Pretoria, South Africa"
PhD in Architectural Engineering,University of Pécs,"Pécs, Hungary"
Vision Sciences (PhD),Cardiff University,"Cardiff, Wales"
PhD in Electrical Engineering Science,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
PhD in Architecture,Kaunas University of Technology,"Kaunas, Lithuania"
PhD in Nanotechnology,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
PhD (Agronomy),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
PhD in Mental Health,"Johns Hopkins University, Bloomberg School of Public Health","Baltimore, United States of America"
Doctor of Public Health (DrPH),"Johns Hopkins University, Bloomberg School of Public Health","Baltimore, United States of America"
PhD in Basic Medical Sciences,University of Pécs,"Pécs, Hungary"
PhD in Clinical Medical Sciences,University of Pécs,"Pécs, Hungary"
PhD in Interdisciplinary Medical Sciences,University of Pécs,"Pécs, Hungary"
PhD in Pharmacology and Pharmaceutical Sciences,University of Pécs,"Pécs, Hungary"
PhD in Transport Engineering,Kaunas University of Technology,"Kaunas, Lithuania"
PhD in Chemical Engineering and Material Sciences,University of Pannonia,"Veszprém, Hungary"
PhD in Political Sciences,Kaunas University of Technology,"Kaunas, Lithuania"
Doctoral Program of Artistic Research in Performing Arts,University of the Arts Helsinki,"Helsinki, Finland"
PhD in Health Sciences,University of Pécs,"Pécs, Hungary"
PhD (Industrial Systems),University of Pretoria - Faculty of Economic and Management Science,"Pretoria, South Africa"
PhD (Mechanical Engineering),"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
MPhil/PhD Journalism,University of Lincoln,"Lincoln, England"
"PhD in Marine, Earth and Environmental Sciences",University of Algarve,"Faro, Portugal"
PhD in Chemical and Environmental Sciences,University of Pannonia,"Veszprém, Hungary"
PhD in Chemical Engineering,Kaunas University of Technology,"Kaunas, Lithuania"
MPhil/PhD Economics,University of Lincoln,"Lincoln, England"
MPhil/PhD Finance,University of Lincoln,"Lincoln, England"
MPhil/PhD Management,University of Lincoln,"Lincoln, England"
MPhil/PhD Marketing,University of Lincoln,"Lincoln, England"
MPhil/PhD Tourism,University of Lincoln,"Lincoln, England"
PhD Informatics,University of Pretoria - Faculty of Economic and Management Science,"Pretoria, South Africa"
PhD studies in Education,Vytautas Magnus University,"Kaunas, Lithuania"
PhD in Applied Sciences in Engineering,Technical University of Liberec,"Liberec, Czech Republic"
PhD in Civil Engineering,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
PhD (Professional) Education,University of Lincoln,"Lincoln, England"
MPhil/PhD Anthropology,"Goldsmiths, University of London","London, England"
PhD in Electrical Power Engineering,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
PhD (Information Systems),"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
PhD (Finance and Investment),University of Pretoria - Faculty of Economic and Management Science,"Pretoria, South Africa"
PhD (Technology and Innovation Management),"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
PhD in Business Administration,University of Pécs,"Pécs, Hungary"
PhD in Law,University of Pécs,"Pécs, Hungary"
PhD in Language Sciences,University of Algarve,"Faro, Portugal"
PhD in Metallurgical Technology,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
PhD in Regional Development,University of Pécs,"Pécs, Hungary"
PhD in Physics,University of Pécs,"Pécs, Hungary"
International PhD Summer School,Kaunas University of Technology,"Kaunas, Lithuania"
PhD in Economy and Management,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
MPhil/PhD Logistics Management,University of Lincoln,"Lincoln, England"
PhD in Chemical and Environmental Engineering,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
PhD in Transport and Material Handling,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
PhD in Education,Kaunas University of Technology,"Kaunas, Lithuania"
PhD (Biochemistry),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
PhD (Entomology),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
PhD (Psychology),University of Pretoria - Faculty of Humanities,"Pretoria, South Africa"
"Mathematical Statistics, PhD",University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
PhD Plant Science,University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
PhD Wildlife Management,University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
PhD (Microbiology),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
PhD in Informatics and Computational Science,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
PhD (Bioinformatics),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
PhD in Management Sciences and Business Administration,University of Pannonia,"Veszprém, Hungary"
PhD in Fire Protection and Safety,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
PhD in Applied Physics,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
PhD Film by Practice,London Film School,"London, England"
MPhil/PhD Educational Research and Development,University of Lincoln,"Lincoln, England"
PhD (Tourism Management),University of Pretoria - Faculty of Economic and Management Science,"Pretoria, South Africa"
PhD (Veterinary Science) (Anatomy and Physiology),University of Pretoria - Faculty of Veterinary Science,"Pretoria, South Africa"
MPhil/PhD Human Resource Management,University of Lincoln,"Lincoln, England"
PhD (Geoinformatics),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
PhD in Material Science and Engineering,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
MPhil/PhD Culture and Heritage Management,University of Lincoln,"Lincoln, England"
PhD in Bioinformatics and Computational Biology,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
PhD in Mining and Mining Geomechanics,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
PhD in Geoinformatics,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
PhD in Processing,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
MPhil/PhD Music,University of Lincoln,"Lincoln, England"
Education (Research),Cardiff University,"Cardiff, Wales"
PhD in Transport Systems,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
PhD in Maritime Affairs,World Maritime University,"Malmö, Sweden"
PhD (Computer-integrated Education),University of Pretoria - Faculty of Education,"Pretoria, South Africa"
Social and Public Policy (Research),Cardiff University,"Cardiff, Wales"
Social Work (Research),Cardiff University,"Cardiff, Wales"
PhD (Nursing Science),University of Pretoria - Faculty of Health Sciences,"Pretoria, South Africa"
Online Double Degree DBA Strategic Management,Swiss School of Business and Management Geneva,"Geneva, Switzerland"
PhD (Industrial and Organisational Psychology),University of Pretoria - Faculty of Economic and Management Science,"Pretoria, South Africa"
MPhil/PhD Politics,"Goldsmiths, University of London","London, England"
PhD in Administration - Finance,HEC Montreal,"Montreal, Canada"
PhD (Animal Science),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
PhD (Biotechnology),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
PhD (Actuarial Science),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
PhD (Politics),University of Pretoria - Faculty of Humanities,"Pretoria, South Africa"
PhD (Philosophy),University of Pretoria - Faculty of Humanities,"Pretoria, South Africa"
PhD in Robotics,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
PhD in Humanities & Social Sciences,Ben-Gurion University of the Negev,"Be'er Sheva, Israel"
PhD (Education Policy Studies),University of Pretoria - Faculty of Education,"Pretoria, South Africa"
PhD (Environmental Management),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
PhD in Health Sciences,Ben-Gurion University of the Negev,"Be'er Sheva, Israel"
PhD in Desert Studies,Ben-Gurion University of the Negev,"Be'er Sheva, Israel"
Performance (Research),Cardiff University,"Cardiff, Wales"
MPhil/PhD History,University of Lincoln,"Lincoln, England"
MPhil/PhD Health and Social Care Research Opportunities,University of Lincoln,"Lincoln, England"
Logistics and Operations Management (Research),Cardiff University,"Cardiff, Wales"
PhD in Computational and Applied Mathematics,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
PhD Medical Criminalistics,University of Pretoria - Faculty of Health Sciences,"Pretoria, South Africa"
MPhil/PhD Drama,University of Lincoln,"Lincoln, England"
PhD Practice Portfolio in Health and Social Care,University of Lincoln,"Lincoln, England"
PhD in Engineering,Ben-Gurion University of the Negev,"Be'er Sheva, Israel"
PhD (Food Science),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
PhD studies in Communication and Information,Vytautas Magnus University,"Kaunas, Lithuania"
MPhil/PhD Philosophy,University of Lincoln,"Lincoln, England"
MPhil/PhD Sociology,"Goldsmiths, University of London","London, England"
MPhil/PhD Criminology,University of Lincoln,"Lincoln, England"
Business Studies (Research),Cardiff University,"Cardiff, Wales"
"PhD in Administration – Management, Strategy and Entrepreneurship",HEC Montreal,"Montreal, Canada"
MPhil/PhD English,University of Lincoln,"Lincoln, England"
Geography and Planning (Research),Cardiff University,"Cardiff, Wales"
PhD in Geotechnics and Underground Engineering,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
MPhil/PhD Literary and Critical Theory,"Goldsmiths, University of London","London, England"
MPhil/PhD Sociology,University of Lincoln,"Lincoln, England"
PhD in Information Science and Technology,University of Pannonia,"Veszprém, Hungary"
Physics PhD,South Dakota School of Mines & Technology,"Rapid City, United States of America"
MPhil/PhD Education,"Goldsmiths, University of London","London, England"
MRes and PhD in Management,UCL School of Management,"London, England"
MPhil/PhD Media and Cultural Studies,University of Lincoln,"Lincoln, England"
PhD in Informatics Engineering,University of Algarve,"Faro, Portugal"
Mechanical Engineering PhD,South Dakota School of Mines & Technology,"Rapid City, United States of America"
Clinical Psychology (Research),Cardiff University,"Cardiff, Wales"
PhD Sociology,University of Pretoria - Faculty of Humanities,"Pretoria, South Africa"
MPhil/PhD Creative Writing,University of Lincoln,"Lincoln, England"
MPhil/PhD Pure Mathematics,University of Lincoln,"Lincoln, England"
Electrical Engineering PhD,South Dakota School of Mines & Technology,"Rapid City, United States of America"
PhD in Thermal Engineering and Fuels in Industry,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
MPhil/PhD Media & Communications,"Goldsmiths, University of London","London, England"
PhD (Agricultural Economics),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
PhD (Air Quality Management),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
MPhil/PhD Media (including by practice),University of Lincoln,"Lincoln, England"
MPhil/PhD Social Sciences,University of Lincoln,"Lincoln, England"
MPhil/PhD Human Geography,University of Lincoln,"Lincoln, England"
PhD (Medicinal Plant Science),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
PhD (Interior Architecture),"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
PhD (Landscape Architecture),"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
PhD Architecture,"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
PhD Mining,"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
Neuroscience (PhD),Cardiff University,"Cardiff, Wales"
MPhil/PhD Psychology,"Goldsmiths, University of London","London, England"
MPhil/PhD Computer Science,"Goldsmiths, University of London","London, England"
PhD (Engineering and Environmental Geology) (Hydrogeology),"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
PhD in Systems Engineering and Informatics,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
MPhil/PhD Classical Studies,University of Lincoln,"Lincoln, England"
PhD Financial Management Sciences,University of Pretoria - Faculty of Economic and Management Science,"Pretoria, South Africa"
MPhil/PhD Physical Geography,University of Lincoln,"Lincoln, England"
MPhil/PhD Creative & Cultural Entrepreneurship,"Goldsmiths, University of London","London, England"
Molecular Biosciences (PhD),Cardiff University,"Cardiff, Wales"
Materials Engineering and Science PhD,South Dakota School of Mines & Technology,"Rapid City, United States of America"
PhD (Political Science),University of Pretoria - Faculty of Humanities,"Pretoria, South Africa"
PhD in Mechanical Engineering Technology,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Social Sciences (Research),Cardiff University,"Cardiff, Wales"
MPhil/PhD Law,University of Lincoln,"Lincoln, England"
PhD in Applied Mechanics,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
MPhil/PhD Law,"Goldsmiths, University of London","London, England"
MPhil/PhD Advanced Practices,"Goldsmiths, University of London","London, England"
PhD in Communication Technology,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
PhD (Consumer Science) (Clothing Management),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
PhD (Consumer Science) (Food Management),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
MPhil/PhD Visual Sociology,"Goldsmiths, University of London","London, England"
Philosophy (PhD),Cardiff University,"Cardiff, Wales"
Social Computing (PhD),Cardiff University,"Cardiff, Wales"
PhD in Cybernetics,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
MPhil/PhD International Relations,University of Lincoln,"Lincoln, England"
MPhil/PhD Mathematics,University of Lincoln,"Lincoln, England"
MPhil/PhD Social Policy,University of Lincoln,"Lincoln, England"
PhD in Administration - Applied Economics,HEC Montreal,"Montreal, Canada"
PhD in Administration - Marketing,HEC Montreal,"Montreal, Canada"
MPhil/PhD Psychology - Research Opportunities,University of Lincoln,"Lincoln, England"
MPhil/PhD Art,"Goldsmiths, University of London","London, England"
MPhil/Phd Translation,"Goldsmiths, University of London","London, England"
MPhil/PhD History,"Goldsmiths, University of London","London, England"
MRes and PhD in Financial Economics,UCL School of Management,"London, England"
MPhil/PhD Microbiology,University of Lincoln,"Lincoln, England"
PhD Civil Engineering,"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
PhD Construction Management,"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
PhD Electrical Engineering,"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
"MPhil/PhD English, Comparative Literature or Linguistics","Goldsmiths, University of London","London, England"
MPhil/PhD Chemistry,University of Lincoln,"Lincoln, England"
MPhil/PhD Nanomaterials Science,University of Lincoln,"Lincoln, England"
MPhil/PhD Visual Anthropology,"Goldsmiths, University of London","London, England"
MPhil/PhD Biology,University of Lincoln,"Lincoln, England"
MPhil/PhD Politics,University of Lincoln,"Lincoln, England"
MPhil/PhD Counselling & Psychotherapy,"Goldsmiths, University of London","London, England"
Nanoscience and Nanoengineering PhD,South Dakota School of Mines & Technology,"Rapid City, United States of America"
MPhil/Phd Translation (by practice),"Goldsmiths, University of London","London, England"
MPhil/PhD Religious Studies,"Goldsmiths, University of London","London, England"
Oral and Biomedical Sciences (PhD),Cardiff University,"Cardiff, Wales"
PhD in Control of Machines and Processes,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
MPhil/PhD Sport and Exercise Science/Sports Studies,University of Lincoln,"Lincoln, England"
