Master's Degree in Advanced Studies in Archaeology,Universitat de Barcelona,"Barcelona, Spain"
Master's Degree in Molecular Biology and Genetics,University of Pavia,"Pavia, Italy"
Master Degree Programme in Architecture,Università Iuav di Venezia,"Venice, Italy"
Master's degree in Strategic Marketing,Macromedia University of Applied Sciences,Multiple (2)
Master’s Degree in Marketing & Digital Communication,LUMSA University,"Rome, Italy"
Integrated Master's Degree in Physics with Mathematics,University of Southampton,"Southampton, England"
Master's Degree in Actuarial and Financial Sciences,Universitat de Barcelona,"Barcelona, Spain"
Master's Degree in Sport Business Management,Universitat de Barcelona,"Barcelona, Spain"
Master's Degree in Cognitive Science and Language,Universitat de Barcelona,"Barcelona, Spain"
Master's Degree in Oceanography and Marine Environmental Management,Universitat de Barcelona,"Barcelona, Spain"
Master's Degree in Management of Teaching Centres,Universitat de Barcelona,"Barcelona, Spain"
Integrated Master's Degree in Chemistry with Maths,University of Southampton,"Southampton, England"
Master's Degree in Culinary Leadership & Innovation,Institut Lyfe (formerly Institut Paul Bocuse),"Ecully, France"
Master's Degree in Innovation and Entrepreneurship in Biomedical Engineering,Universitat de Barcelona,"Barcelona, Spain"
Master's Degree in Advanced Public Management,Universitat de Barcelona,"Barcelona, Spain"
Integrated Master's Degree in Physics with Nanotechnology,University of Southampton,"Southampton, England"
Master's Degree in Management (English),Deusto Business School,"San Sebastián, Spain"
"Master's Degree in Ecology, Environmental Management and Restoration",Universitat de Barcelona,"Barcelona, Spain"
Master's Degree in Physical Activity and Education,Universitat de Barcelona,"Barcelona, Spain"
Master's Degree in Legal Practice and Representation,Universitat de Barcelona,"Barcelona, Spain"
Master's Degree in Strategic Security Management,Universitat de Barcelona,"Barcelona, Spain"
Master’s Degree in Human-centered Artificial Intelligence (Joint Degree),University of Pavia,Multiple (2)
Master's Degree in Research and Educational Change,Universitat de Barcelona,"Barcelona, Spain"
Master's Degree in Clinical Research,Universitat Internacional de Catalunya,"Barcelona, Spain"
Master's Degree in Medical and Pharmaceutical Biotechnologies,University of Pavia,"Pavia, Italy"
Master’s Degree Program in Dance Performance,University of the Arts Helsinki,"Helsinki, Finland"
Master’s Degree Program in Dance Performance,University of the Arts Helsinki,"Helsinki, Finland"
Master's Degree in Digitally Mediated Learning Environments,Universitat de Barcelona,"Barcelona, Spain"
Master's Degree in Arts and Cultural Management,Universitat Internacional de Catalunya,"Barcelona, Spain"
Integrated Master's Degree in Natural Sciences,University of Southampton,"Southampton, England"
Master's Degree in Music as an Interdicisplinary Art,Universitat de Barcelona,"Barcelona, Spain"
"Master's Degree in Astrophysics, Particle Physics and Cosmology",Universitat de Barcelona,"Barcelona, Spain"
"Master's Degree in Medicine, Health and the Healthcare System",Universitat de Barcelona,"Barcelona, Spain"
Software Technology Master's degree,Linnaeus University,"Växjö, Sweden"
Master's Degree in Pure and Applied Logic,Universitat de Barcelona,"Barcelona, Spain"
Master's degree in Business Management,Macromedia University of Applied Sciences,Multiple (2)
Master's Degree in Advanced Medical Skills,Universitat de Barcelona,"Barcelona, Spain"
Master's Degree in Science and Integrated Management of Water,Universitat de Barcelona,"Barcelona, Spain"
Master's Degree in Political Analysis and Institutional Assessment,Universitat de Barcelona,"Barcelona, Spain"
"Master's Degree in Economics, Development and Innovation",University of Pavia,"Pavia, Italy"
Master’s Degree in Artificial Intelligence for Science & Technology (Joint Degree),University of Pavia,Multiple (2)
Master's Degree in Citizenship and Values Education,Universitat de Barcelona,"Barcelona, Spain"
Master's Degree in Contemporary History and Today's World,Universitat de Barcelona,"Barcelona, Spain"
Integrated Master's Degree in Physics with Astronomy,University of Southampton,"Southampton, England"
Master's Degree in Digital Content Management,Universitat de Barcelona,"Barcelona, Spain"
Integrated Master's Degree in Mechatronic Engineering (MEng),University of Southampton,"Southampton, England"
Master’s Degree in International Trade and Economic Relations,Universidad Europea,"Madrid, Spain"
Master's Degree in Research in Language and Literature Teaching,Universitat de Barcelona,"Barcelona, Spain"
Master's Degree in Theory of Literature and Comparative Literature,Universitat de Barcelona,"Barcelona, Spain"
Private Master´s Degree in Financial Management,Universidad Europea,"Madrid, Spain"
Master's Degree in Sociology: Social Transformations and Innovation,Universitat de Barcelona,"Barcelona, Spain"
"Master's Degree in Drug Research, Development and Control",Universitat de Barcelona,"Barcelona, Spain"
Master's Degree in City Resilience Design and Management,Universitat Internacional de Catalunya,"Barcelona, Spain"
Master's Degree in Cultural Heritage Management and Museology,Universitat de Barcelona,"Barcelona, Spain"
Master's Degrees in Fine Arts ( Full-residency),Emily Carr University of Art + Design,"Vancouver, Canada"
Executive Master's Degree in Big Data Science,Universitat Internacional de Catalunya,"Barcelona, Spain"
Integrated Master's Degree in Physics with Space Science,University of Southampton,"Southampton, England"
"Master's Degree in Economics, Regulation and Competition in Public Services",Universitat de Barcelona,"Barcelona, Spain"
Master's Degree in Psychology of Work and Organizational Well-being,LUMSA University,"Rome, Italy"
Master in Management & Innovation (Double Degree Track),TUM School of Management Heilbronn,"Paris, France"
Master's Degree in Construction and Representation of Cultural Identity,Universitat de Barcelona,"Barcelona, Spain"
Integrated Master's Degree in Physics with Photonics,University of Southampton,"Southampton, England"
"Master’s Degree in Philosophical Knowledge: Foundations, Methods, Applications (Joint Degree)",University of Pavia,Multiple (2)
Master's Degree in Advanced Studies in Art History,Universitat de Barcelona,"Barcelona, Spain"
Private Master´s Degree in Project Management,Universidad Europea,"Madrid, Spain"
Master's Degree in Concept Art (in Spanish only),LCI Barcelona,"Barcelona, Spain"
Integrated Masters Degree in Mathematical Physics,University of Southampton,"Southampton, England"
Master's Degree in Architecture and Design Business Management,Universitat Internacional de Catalunya,"Barcelona, Spain"
Master's Degree in Mineral Resources and Geological Hazards,Universitat de Barcelona,"Barcelona, Spain"
Master's Degree in Urban Design for Healthy Cities,Universitat Internacional de Catalunya,"Barcelona, Spain"
Master's Degree in Applied Research Methodology in Nursing Care,Universitat de Barcelona,"Barcelona, Spain"
Master's degree in Digital Media Business,Macromedia University of Applied Sciences,Multiple (2)
Master's Degree in Physical Science - Biomedical Physics Curriculum,University of Pavia,"Pavia, Italy"
Master's Degree in Institutions and Political Economy,Universitat de Barcelona,"Barcelona, Spain"
Master's Degree in Contemporary Thought and Classical Tradition,Universitat de Barcelona,"Barcelona, Spain"
Integrated Master's Degree in Chemistry with Medicinal Sciences,University of Southampton,"Southampton, England"
Master's Degree in Spatial Planning and Environmental Management,Universitat de Barcelona,"Barcelona, Spain"
Master's degree in Media and Communication Management,Macromedia University of Applied Sciences,Multiple (2)
Physical Activity and Sport Pedagogy (Master's Degree),Klaipeda University,"Klaipėda, Lithuania"
Master's Degree in Physics of Complex Systems and Biophysics,Universitat de Barcelona,"Barcelona, Spain"
International Master's degree in Oral Surgery,Universitat Internacional de Catalunya,"Barcelona, Spain"
"Master’s degree European Languages, Cultures and Societies in Contact",University of Pavia,"Pavia, Italy"
Integrated Master's Degree in Mechanical Engineering (MEng),University of Southampton,"Southampton, England"
Master's Degree in Training of Teachers of Spanish as a Foreign Language,Universitat de Barcelona,"Barcelona, Spain"
Master's Degree in People and Team Management and Development in Organizations,Universitat de Barcelona,"Barcelona, Spain"
Integrated Master's Degree in Acoustical Engineering (MEng),University of Southampton,"Southampton, England"
Master's Degree in Principles of Care and Education for Diabetes Sufferers,Universitat de Barcelona,"Barcelona, Spain"
Integrated Master's Degree in Aeronautics and Astronautics (MEng),University of Southampton,"Southampton, England"
Master's Degree in Strategic Management in Logistics (Campus),bbw University of Applied Sciences,"Berlin, Germany"
Integrated Master's Degree in Computer Science with AI,University of Southampton,"Southampton, England"
Master's Degree in Fundamental Principles of Data Science,Universitat de Barcelona,"Barcelona, Spain"
"Master's Degree in Psychology, Neuroscience and Human Sciences",University of Pavia,"Pavia, Italy"
Master's Degrees in Fine Arts (Low-Residency),Emily Carr University of Art + Design,"Vancouver, Canada"
"Master's Degree in Food Research, Development and Innovation",Universitat de Barcelona,"Barcelona, Spain"
Master's Degree Study Programme in Pharmacy in the English language,"Faculty of Pharmacy, Comenius University Bratislava, Slovakia","Bratislava, Slovakia"
Master's Degree in Fashion and Advertising Photography (in Spanish only),LCI Barcelona,"Barcelona, Spain"
Master's Degree in Citizenship and Human Rights: Ethics and Politics,Universitat de Barcelona,"Barcelona, Spain"
Master's degree in Design Management,Macromedia University of Applied Sciences,"Munich, Germany"
Master’s Degree in Venture Capital and Private Equity,Universitat Internacional de Catalunya,"Barcelona, Spain"
Master's Degree in International Cooperation: Sustainable Emergency Architecture,Universitat Internacional de Catalunya,"Barcelona, Spain"
Master's Degree in Management and Direction of Libraries and Information Services,Universitat de Barcelona,"Barcelona, Spain"
Master's degree in Brand Management,Macromedia University of Applied Sciences,Multiple (2)
Master's degree in Music Management,Macromedia University of Applied Sciences,"Berlin, Germany"
Master's Degree in Renewable Energy and Energetic Sustainability,Universitat de Barcelona,"Barcelona, Spain"
Master's Degree in Gastronomic and Advertising Photography (in Spanish only),LCI Barcelona,"Barcelona, Spain"
Integrated Master's Degree in Astrophysics (Year Abroad),University of Southampton,"Southampton, England"
Integrated Master's Degree in Computer Science with Cyber Security,University of Southampton,"Southampton, England"
Master's Degree in Management of Creative Industries (Campus),bbw University of Applied Sciences,"Berlin, Germany"
Private Master´s Degree in  Big Data Analytics,Universidad Europea,"Madrid, Spain"
Integrated Masters Degree in Marine Biology with Oceanography,University of Southampton,"Southampton, England"
Master's Degree in Art Direction and Graphic Project Management,LCI Barcelona,"Barcelona, Spain"
Master's Degree in Signature Documentary Photography (in Spanish only),LCI Barcelona,"Barcelona, Spain"
"Master’s degree ""LIFELINE Lifelong Well-Being and Healthy Ageing""",University of Pavia,"Pavia, Italy"
Integrated Master's Degree in Civil Engineering and Architecture,University of Southampton,"Southampton, England"
Joint Master's Degree Programme - Agri-Food Business Management,Latvia University of Life Sciences and Technologies,"Jelgava, Latvia"
Master's Degree in Advanced Studies in Spanish and Latin American Literature,Universitat de Barcelona,"Barcelona, Spain"
Integrated Master's Degree in Aerospace Electronic Engineering (MEng),University of Southampton,"Southampton, England"
"Master's Degree in Internationalization: Economic, Commercial, Legal and Political Aspects",Universitat de Barcelona,"Barcelona, Spain"
Master in Mathematics,Universidad de Valladolid,"Valladolid, Spain"
Master in Physics,Universidad de Valladolid,"Valladolid, Spain"
"Master's Degree in Criminology, Criminal Justice Policy and Sociology of Criminal Law",Universitat de Barcelona,"Barcelona, Spain"
Master's Degree in Applied Linguistics and Language Acquisition in Multilingual Contexts,Universitat de Barcelona,"Barcelona, Spain"
Master's Degree in Creation and Management of Innovative Technology-Based Companies,Universitat de Barcelona,"Barcelona, Spain"
Master in Cybersecurity,Universidade de Aveiro,"Aveiro, Portugal"
Master in Physiotherapy,LUNEX University,"Differdange, Luxembourg"
Master's Degree in Spanish as a Foreign Language: Research and Professional Practices,Universitat de Barcelona,"Barcelona, Spain"
"Master's Degree in Innovation and Entrepreneurship in Nutrition, Chronic Diseases and Healthy Ageing",Universitat de Barcelona,"Barcelona, Spain"
Master in Mechatronics,Technical University of Liberec,"Liberec, Czech Republic"
Master in Biotechnology,MCI |The Entrepreneurial School®,"Innsbruck, Austria"
"Master's Degree in Atomistic and Multiscale Computational Modelling in Physics, Chemistry and Biochemistry",Universitat de Barcelona,"Barcelona, Spain"
Master of Music,Zuyd University of Applied Sciences,"Maastricht, Netherlands"
Master in Psychology,University of New York in Prague,"Prague, Czech Republic"
Master in Management,WHU - Otto Beisheim School of Management,"Vallendar, Germany"
Master’s in Finance,Hult International Business School,Multiple (2)
Master of Law,KU Leuven,Multiple (2)
Master in Logistics,Universidad de Valladolid,"Valladolid, Spain"
Master of Architecture,KU Leuven,Multiple (2)
Master in Management,Universidade de Aveiro,"Aveiro, Portugal"
Masters in Education,Unicaf University,"Larnaca, Cyprus"
Master by Research,Charles Darwin University,"Darwin, Australia"
Master in Economics,Universidade de Aveiro,"Aveiro, Portugal"
Master in Management,IE University,"Madrid, Spain"
Master in Biochemistry,Universidade de Aveiro,"Aveiro, Portugal"
Master in Ophthalmological Nursing,Universidad de Valladolid,"Valladolid, Spain"
Master in Ophthalmological Subspecialties,Universidad de Valladolid,"Valladolid, Spain"
Master in Management,Rennes School of Business,"Rennes, France"
Master of Nutrition,Charles Darwin University,"Darwin, Australia"
Masters in Computer Science,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Master of Laws,The Open University,"Buckinghamshire, England"
Master of Economics,KU Leuven,"Leuven, Belgium"
Masters in Finance,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Master in Telecommunications Engineering,Universidad de Valladolid,"Valladolid, Spain"
Master in Applied Nanotechnology,Saxion University of Applied Sciences,"Enschede, Netherlands"
Masters in Architecture and Construction,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Master of Management,Singapore University of Social Sciences,"Singapore (City), Singapore"
Master in Finance,WHU - Otto Beisheim School of Management,"Vallendar, Germany"
Master degree in The Ancient Mediterranean World (History Archaeology and Art),University of Pavia,"Pavia, Italy"
Master degree in Environmental Engineering - Curriculum in REACH: REsilience to climAte CHange effects,University of Pavia,"Pavia, Italy"
Master in Hispanic Music,Universidad de Valladolid,"Valladolid, Spain"
Master in Economics,University Carlos III of Madrid,"Getafe, Spain"
Masters in EnvEuro,SLU - Swedish University of Agricultural Sciences,"Uppsala, Sweden"
Master in Curatorial Practice,IED - Istituto Europeo di Design,"Florence, Italy"
Master in Management,TUM School of Management Heilbronn,Multiple (2)
Master in Mathematics for Teachers,Universidade de Aveiro,"Aveiro, Portugal"
Master of Bioethics,KU Leuven,"Leuven, Belgium"
Master in Branding,ELISAVA Barcelona School of Design and Engineering,"Barcelona, Spain"
Master in Fashion Business,IED - Istituto Europeo di Design,"Florence, Italy"
Master of Philosophy,KU Leuven,"Leuven, Belgium"
Accelerated Masters Programs,South Dakota School of Mines & Technology,"Rapid City, United States of America"
Masters in Nanotechnology,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Master in Agricultural Engineering,Universidad de Valladolid,"Palencia, Spain"
Prosthodontics (Master),Cyprus Health and Social Sciences University,"Morphou, Cyprus"
Master of Sociology,KU Leuven,"Leuven, Belgium"
Master of Public Health/Master of Health Research,Charles Darwin University,"Darwin, Australia"
Master in Biotechnology,Universidade de Aveiro,"Aveiro, Portugal"
Master in Arts Management,IED - Istituto Europeo di Design,Multiple (2)
Master in Physiotherapy,Universidade de Aveiro,"Aveiro, Portugal"
Master in Retail Management,Universidade de Aveiro,"Aveiro, Portugal"
Master's Program in Architecture,Aalto University,"Espoo, Finland"
Master in Architecture,Universidad de Valladolid,"Valladolid, Spain"
Master in Interior Design,ELISAVA Barcelona School of Design and Engineering,"Barcelona, Spain"
Master in Structural Design,Universidade de Aveiro,"Aveiro, Portugal"
Master of Ophthalmology (MOphth),University of Otago,"Dunedin, New Zealand"
Master of Physics,KU Leuven,"Leuven, Belgium"
Master in Music,Universidade de Aveiro,"Aveiro, Portugal"
Master of Biology,KU Leuven,"Leuven, Belgium"
Master in Bilingual Education,UCAM / Universidad Catolica De Murcia,"Murcia, Spain"
Master in Informatics Engineering,Universidade de Aveiro,"Aveiro, Portugal"
Master in Photography and Design,ELISAVA Barcelona School of Design and Engineering,"Barcelona, Spain"
Master's Program in Nordic Master in Jazz (NOMAZZ),University of the Arts Helsinki,"Helsinki, Finland"
"Master's Degree in European & International Business Management (trilingual programme: English, French and Spanish)",Deusto Business School,Multiple (3)
Master's Program in Accounting,Aalto University,"Espoo, Finland"
Master in Packaging Design,ELISAVA Barcelona School of Design and Engineering,"Barcelona, Spain"
Master in Management,Maastricht School of Management - MSM,"Maastricht, Netherlands"
Master in Theatre,Zuyd University of Applied Sciences,"Maastricht, Netherlands"
Master's Program in Economics,Aalto University,"Espoo, Finland"
Master of Geology,KU Leuven,"Leuven, Belgium"
Master of History,KU Leuven,"Leuven, Belgium"
Master of Arts,Charles Darwin University,"Darwin, Australia"
Master in Aeronautical Management,International Graduate Center - Hochschule Bremen,"Bremen, Germany"
Master in Service Design,Turku University of Applied Sciences,"Turku, Finland"
Master of Business Economics,KU Leuven,"Leuven, Belgium"
Master of Economics (MEcon),University of Otago,"Dunedin, New Zealand"
Master of Health Research,Charles Darwin University,"Darwin, Australia"
Master of Music,Fontys School of Fine & Performing Arts,"Tilburg, Netherlands"
Master of Surveying (MSurv),University of Otago,"Dunedin, New Zealand"
Master in Finance,Universidade de Aveiro,"Aveiro, Portugal"
Master of Midwifery,Charles Darwin University,"Sydney, Australia"
Master of Aviation Medicine (MAvMed),University of Otago,"Dunedin, New Zealand"
Master in Management,Institut Mines-Telecom Business School,"Évry-Courcouronnes, France"
Master of Ministry (MMin),University of Otago,"Dunedin, New Zealand"
Master in Management,EU Business School Barcelona,"Barcelona, Spain"
Master in Mechanical Engineering,Universidade de Aveiro,"Aveiro, Portugal"
Master in Fashion Design,IED - Istituto Europeo di Design,"Milan, Italy"
Master in Psychopedagogy,Universidad de Valladolid,"Segovia, Spain"
Master in Microbiology,Universidade de Aveiro,"Aveiro, Portugal"
Master in Biomedical Materials and Devices,Universidade de Aveiro,"Aveiro, Portugal"
Master in Logic and Philosophy of Science,Universidad de Valladolid,"Valladolid, Spain"
Master of Marketing (MMart),University of Otago,"Dunedin, New Zealand"
Master of Economics,Dalarna University,"Borlänge, Sweden"
Master's Program in Geoinformatics,Aalto University,"Espoo, Finland"
Master of Criminology,KU Leuven,"Leuven, Belgium"
Master in Biomedical Research,Universidad de Valladolid,"Valladolid, Spain"
Master in Civil Engineering,Universidade de Aveiro,"Aveiro, Portugal"
Master in Industrial Quality Management,Turku University of Applied Sciences,"Turku, Finland"
Master of Geography,KU Leuven,"Leuven, Belgium"
Masters in Agroecology,SLU - Swedish University of Agricultural Sciences,"Alnarp, Sweden"
Master of Mathematics,KU Leuven,"Leuven, Belgium"
Master in Mathematics and Applications,Universidade de Aveiro,"Aveiro, Portugal"
Master of Chemistry,KU Leuven,"Leuven, Belgium"
Master in Management,NEOMA Business School,Multiple (2)
Master Choreography,Fontys School of Fine & Performing Arts,"Tilburg, Netherlands"
Master in Classical Texts and their Tradition,Universidad de Valladolid,"Valladolid, Spain"
Master in Industrial Design Engineering,Universidad de Valladolid,"Valladolid, Spain"
Taxation (Masters),University of Limerick,"Limerick, Ireland"
Master in International Management,Technical University of Liberec,"Liberec, Czech Republic"
Master in Professional Photography,IED - Istituto Europeo di Design,"Madrid, Spain"
Master in Chemical Engineering,Universidad de Valladolid,"Valladolid, Spain"
Master in Smart Mobility,Universidade de Aveiro,"Aveiro, Portugal"
Master in Smart Mobility,Universidade de Aveiro,"Aveiro, Portugal"
Master's Program in Finance,Aalto University,"Espoo, Finland"
Taxation (Masters),University of Limerick,"Limerick, Ireland"
Master's Program in Directing,University of the Arts Helsinki,"Helsinki, Finland"
Master of Civil Engineering,KU Leuven,"Leuven, Belgium"
Master in Forestry Engineering,Universidad de Valladolid,"Palencia, Spain"
Master in Automotive Engineering,Universidad de Valladolid,"Valladolid, Spain"
Masters in Animal Science,SLU - Swedish University of Agricultural Sciences,"Uppsala, Sweden"
Master’s in Business Analytics,Hult International Business School,Multiple (2)
Master's by Research Master MA/MSc,De Montfort University,"Leicester, England"
Master in Management,University of Algarve,"Faro, Portugal"
Master of Chaplaincy (MChap),University of Otago,"Dunedin, New Zealand"
Master in Computer Engineering,Universidad de Valladolid,"Valladolid, Spain"
Master in International Business,WHU - Otto Beisheim School of Management,"Vallendar, Germany"
Master of Architecture,Fontys School of Fine & Performing Arts,"Tilburg, Netherlands"
Master in Sales Management,Turku University of Applied Sciences,"Turku, Finland"
Research Master: Master of Advanced Studies in Theology and Religion,KU Leuven,"Leuven, Belgium"
Master of Music (MMus),University of Otago,"Dunedin, New Zealand"
Master of Theology (MTheol),University of Otago,"Dunedin, New Zealand"
Master in Visual Rehabilitation,Universidad de Valladolid,"Valladolid, Spain"
Master in Finance,IE University,Multiple (3)
Master in Foreign Trade,Universidad de Valladolid,"Valladolid, Spain"
Master in Product Design and Development,ELISAVA Barcelona School of Design and Engineering,"Barcelona, Spain"
Master in Accounting,Universidade de Aveiro,"Aveiro, Portugal"
Master in Project Management,Universidad de Valladolid,"Valladolid, Spain"
Master in Innovative Road and Bridge Engineering (Joint Degree with Riga Technical University),Vilnius Gediminas Technical University,"Vilnius, Lithuania"
Masters in Applied Electronics,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Masters in Business Management,Latvia University of Life Sciences and Technologies,"Jelgava, Latvia"
Master in Research in Vision Sciences,Universidad de Valladolid,"Valladolid, Spain"
Masters in Food Science,Latvia University of Life Sciences and Technologies,"Jelgava, Latvia"
Master in Illustration and Comic,ELISAVA Barcelona School of Design and Engineering,"Barcelona, Spain"
Master in Interior Design,IED - Istituto Europeo di Design,"Milan, Italy"
Master of Deglutology,KU Leuven,"Leuven, Belgium"
Master in Biomedical Engineering,Vilnius Gediminas Technical University,"Vilnius, Lithuania"
Master in Biotechnology,University of Algarve,"Faro, Portugal"
